date,open,high,low,close,volume
2010-04-08,1.33424,1.33655,1.32786,1.3359,79576.6
2010-04-09,1.336,1.34989,1.33363,1.34965,80008.3
2010-04-12,1.3529,1.36905,1.3529,1.35877,79630.5
2010-04-13,1.35889,1.36265,1.35437,1.36117,79449.2
2010-04-14,1.36108,1.36794,1.35929,1.36514,79758.7
2010-04-15,1.36496,1.36657,1.35169,1.35697,79513.4
2010-04-16,1.35703,1.35846,1.34703,1.35013,79319.5
2010-04-19,1.3497,1.3497,1.34124,1.34849,79825.2
2010-04-20,1.34873,1.35222,1.34247,1.34332,80159.1
2010-04-21,1.34337,1.34495,1.33561,1.33885,79887.3
2010-04-22,1.33875,1.34209,1.3258,1.32925,79101.8
2010-04-23,1.32909,1.33995,1.32014,1.33818,77986.2
2010-04-26,1.33773,1.33959,1.32892,1.33813,79499.4
2010-04-27,1.33808,1.34131,1.31638,1.31741,79819.1
2010-04-28,1.31714,1.32654,1.31117,1.32195,79389.4
2010-04-29,1.32184,1.32773,1.31819,1.32323,80621.1
2010-04-30,1.32306,1.33418,1.32196,1.32926,79621.2
2010-05-03,1.32974,1.33586,1.31498,1.31924,79963.4
2010-05-04,1.31931,1.3213,1.29776,1.29846,79794.7
2010-05-05,1.29853,1.29952,1.28029,1.28114,81124.3
2010-05-06,1.2811,1.28539,1.25187,1.2618,80471.5
2010-05-07,1.26174,1.27974,1.25836,1.27476,80778.4
2010-05-10,1.27799,1.30918,1.27583,1.27847,80084.4
2010-05-11,1.27834,1.27996,1.2654,1.26593,79816.5
2010-05-12,1.26607,1.27395,1.26032,1.26123,80639.7
2010-05-13,1.26134,1.26833,1.25148,1.2533,79801.5
2010-05-14,1.25316,1.25756,1.23522,1.23583,79796.8
2010-05-17,1.23537,1.24134,1.22373,1.23916,79766.1
2010-05-18,1.23928,1.24436,1.21641,1.22002,80411.5
2010-05-19,1.22002,1.24235,1.21429,1.24124,80270.5
2010-05-20,1.24122,1.25969,1.22951,1.24866,79635.4
2010-05-21,1.24842,1.26704,1.24549,1.25688,80305.2
2010-05-24,1.25667,1.25667,1.2343,1.23702,79802.4
2010-05-25,1.23684,1.23715,1.21747,1.23423,80121.2
2010-05-26,1.23454,1.2387,1.21651,1.21761,80695.7
2010-05-27,1.21776,1.23936,1.21498,1.23603,80215.3
2010-05-28,1.23585,1.24518,1.22614,1.22697,80258.2
2010-05-31,1.22748,1.23335,1.22568,1.23042,79524.3
2010-06-01,1.2303,1.23521,1.2108,1.22273,80635.3
2010-06-02,1.22265,1.22718,1.21741,1.22475,80649.5
2010-06-03,1.22485,1.23263,1.21492,1.21613,79734.3
2010-06-04,1.21606,1.22146,1.19536,1.19637,80185.7
2010-06-07,1.19602,1.19908,1.18746,1.19213,80318.3
2010-06-08,1.19254,1.20093,1.18989,1.19713,80516.5
2010-06-09,1.19717,1.20728,1.19198,1.19765,79663.7
2010-06-10,1.19766,1.21415,1.19543,1.21217,79604.7
2010-06-11,1.21249,1.21526,1.2044,1.21095,80282.7
2010-06-14,1.21157,1.22997,1.2112,1.22183,80331.6
2010-06-15,1.22186,1.23494,1.21628,1.23312,81434.0
2010-06-16,1.23309,1.23517,1.22518,1.2309,80450.1
2010-06-17,1.23067,1.24141,1.22393,1.23871,80186.2
2010-06-18,1.2383,1.24153,1.23504,1.23882,80008.6
2010-06-21,1.23952,1.2466,1.23008,1.23095,79923.2
2010-06-22,1.23094,1.235,1.22506,1.22694,80464.3
2010-06-23,1.22653,1.23438,1.22074,1.23084,81060.4
2010-06-24,1.23076,1.23872,1.22583,1.23321,79905.0
2010-06-25,1.23304,1.23934,1.22504,1.23671,80549.1
2010-06-28,1.23714,1.23974,1.22631,1.22741,80231.8
2010-06-29,1.22754,1.22904,1.21485,1.21858,79735.7
2010-06-30,1.21822,1.23032,1.21634,1.22351,80742.1
2010-07-01,1.22339,1.2538,1.21914,1.25252,81409.5
2010-07-02,1.25259,1.26106,1.24794,1.25624,80791.1
2010-07-05,1.25547,1.25647,1.2505,1.25365,80191.7
2010-07-06,1.25368,1.26617,1.24783,1.26218,79547.6
2010-07-07,1.26229,1.26638,1.25516,1.26365,79883.5
2010-07-08,1.26358,1.27107,1.26168,1.26963,80378.3
2010-07-09,1.26946,1.27213,1.26079,1.26376,79393.4
2010-07-12,1.26356,1.26465,1.25477,1.25952,80365.7
2010-07-13,1.25944,1.27373,1.25216,1.27233,79717.1
2010-07-14,1.27233,1.27778,1.26807,1.27415,79668.6
2010-07-15,1.27413,1.29546,1.27066,1.29483,80380.8
2010-07-16,1.29479,1.30056,1.28867,1.29283,79470.1
2010-07-19,1.29231,1.29908,1.28675,1.29391,80614.0
2010-07-20,1.29404,1.30272,1.28377,1.28777,79491.5
2010-07-21,1.28749,1.2912,1.27293,1.27525,80645.1
2010-07-22,1.27532,1.29315,1.27367,1.2892,80238.4
2010-07-23,1.28908,1.29649,1.2792,1.29075,79975.5
2010-07-26,1.28977,1.30055,1.28735,1.29926,80352.8
2010-07-27,1.29908,1.30456,1.29493,1.2995,80407.1
2010-07-28,1.29926,1.30417,1.29653,1.29924,80624.1
2010-07-29,1.29934,1.31041,1.29767,1.3077,80663.3
2010-07-30,1.30767,1.30927,1.29775,1.30484,79529.7
2010-08-02,1.30533,1.31937,1.30498,1.3179,80832.5
2010-08-03,1.31791,1.32615,1.3144,1.32268,80338.1
2010-08-04,1.32277,1.32383,1.31294,1.31585,80094.6
2010-08-05,1.31583,1.32348,1.31173,1.31879,80100.0
2010-08-06,1.31873,1.33333,1.31543,1.32753,79727.3
2010-08-09,1.32851,1.3307,1.32136,1.32196,80629.8
